            Product Name,            Price,            Discount(%),No. of Sells,No. of Review,            Location,            Product Link,            Product ID,            SKU,,
Multi Color T Shirt For Men - Comfortable,à§³ 90,55% Off,494 sold,-6,Dhaka,//www.daraz.com.bd/products/-i391780667.html,391780667,391780667_BD-1954935650,,
Bodro hobo Indispensable -Quality And Durablity -Bula jao Casual T-Shirt For Men - T Shirt For Man- Innovative Qualityful - Easy To care and Longive T Shirt,à§³ 90,70% Off,737 sold,-12,Dhaka,//www.daraz.com.bd/products/bodro-hobo-bula-jao-i390104095.html,390104095,390104095_BD-1947321519,,
Mens New Stylish Tshirt & Short Pent Combo,à§³ 398,34% Off,605 sold,-43,Dhaka,//www.daraz.com.bd/products/-i389255983.html,389255983,389255983_BD-1940255191,,
Kal Thike vordo hobo New Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,à§³ 99,50% Off,272 sold,-15,Dhaka,//www.daraz.com.bd/products/kal-thike-i391044280.html,391044280,391044280_BD-1952491769,,
Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men,à§³ 97,61% Off,2.0K sold,-81,Dhaka,//www.daraz.com.bd/products/-i334125624.html,334125624,334125624_BD-1625716529,,
Love T-shirt For Men and women Round neck Stylish,à§³ 90,70% Off,112 sold,-1,Dhaka,//www.daraz.com.bd/products/-i391789959.html,391789959,391789959_BD-1954999144,,
2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts,à§³ 90,64% Off,174 sold,-4,Dhaka,//www.daraz.com.bd/products/2024-i392382108.html,392382108,392382108_BD-1956906167,,
2 pis combo casual Printed T Shirt For Men,à§³ 199,43% Off,244 sold,-14,Dhaka,//www.daraz.com.bd/products/2-i391039668.html,391039668,391039668_BD-1952491718,,
Summer Exclusive Black Printed Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Men,à§³ 380,42% Off,96 sold,-6,Dhaka,//www.daraz.com.bd/products/-i394316531.html,394316531,394316531_BD-1962483168,,
Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,à§³ 90,63% Off,151 sold,-6,Dhaka,//www.daraz.com.bd/products/-i392383607.html,392383607,392383607_BD-1956976117,,
